row	column	plot	family	individual	chemotype	n.thc	n.cbd	n.cbc	n.cbg	n.thcv	n.cbdv	n.cbl	n.cbn	sum.n.cannabinoids	thca	cbda	cbca	cbga	thcva	cbdva	cbla	sum.a.cannabinoids	tp.thc	tp.cbd	tp.cbc	tp.cbg	tp.thcv	tp.cbdv	tp.cbl	sum.tp.cannabinoids	sum.na.thc	sum.na.cbd	sum.na.cbc	sum.na.cbg	sum.na.thcv	sum.na.cbdv	sum.na.varins	sum.na.cannabinoids	sum.na.thc.prop	sum.na.cbd.prop	sum.na.cbc.prop	sum.na.cbg.prop	sum.na.thcv.prop	sum.na.cbdv.prop	sum.na.cbl.prop	sum.na.minor.prop	thc.decarb	cbd.decarb	sum.cannabinoids.decarb	cbd.thc.diff.decarb	sum.na.cbd.thc.ratio	sum.na.cbd.cbc.ratio	sum.na.cbd.cbg.ratio
1	1	1	19-1154	GVA-H-19-1154-001	BdBd	0.024360209	0.213993271	0.051017053	0.042414501	0	0.00377471	0	0	0.335559744	0.371635267	11.74076102	1.419602088	0.301108817	0	0.126667517	0.071380162	14.03115487	0.350284338	10.51064069	1.296008084	0.306788042	0	0.113595447	0.062600402	12.639917	0.395995476	11.95475429	1.470619141	0.343523318	0	0.130442227	0.130442227	14.36671462	0.027563398	0.832114691	0.10236294	0.023911056	0	0.009079475	0.00496844	0.140321911	0.061516382	0.017900265	0.023356749	-0.043616117	30.18911835	8.129062078	34.80041576
2	1	2	19-1154	GVA-H-19-1154-002	BdBd	0.025641114	0.209131635	0.023375474	0.036272275	0	0	0	0	0.294420498	0.422432346	12.05842891	0.579923815	0.33950154	0	0.072953318	0	13.47323993	0.396114281	10.78437379	0.53196866	0.334354627	0	0.063250527	0	12.11006188	0.44807346	12.26756055	0.603299289	0.375773815	0	0.072953318	0.072953318	13.76766043	0.03254536	0.891041772	0.04382003	0.027293949	0	0.00529889	0	0.076412868	0.057225246	0.017047532	0.021384933	-0.040177714	27.37845831	20.33412067	32.64612928
3	1	3	19-1154	GVA-H-19-1154-003	BtBd	0.25856754	0.11127369	0.017805923	0	0.027376879	0.004584738	0	0	0.41960877	5.930248292	5.738624146	0.344289294	0.658718337	0.249466743	0.170094533	0.034638724	13.12608007	5.459395292	5.144047066	0.319747634	0.5783547	0.243664545	0.152056698	0.030378161	11.9276441	6.188815832	5.849897836	0.362095217	0.658718337	0.276843622	0.174679271	0.451522893	13.54568884	0.456884541	0.431864182	0.026731399	0.048629372	0.020437766	0.012895562	0.002557177	0.111251276	0.041779808	0.019021476	0.030977293	-0.022758333	0.94523702	16.15568934	8.880727175
4	1	4	19-1154	GVA-H-19-1154-004	BdBd	0.023694828	0.231082069	0.029462759	0.050006207	0	0.00357	0	0	0.337815863	0.43553	11.40157241	0.833753793	0.473354138	0	0.099165862	0	13.2433762	0.405654638	10.23026107	0.760664835	0.46561114	0	0.089546802	0	11.95173849	0.459224828	11.63265448	0.863216552	0.523360345	0	0.102735862	0.102735862	13.58119207	0.033813293	0.856526763	0.063559704	0.038535671	0	0.007564569	0	0.109659944	0.051597445	0.019864947	0.024873801	-0.031732498	25.33106611	13.47594002	22.22685496
5	1	5	19-1154	GVA-H-19-1154-005	BdBd	0.026940698	0.217098488	0.051419651	0.022265233	0	0.000557442	0	0	0.318281512	0.353244419	9.162390698	1.148003023	0.183118256	0	0.05180686	0	10.89856326	0.336736053	8.25251513	1.058218302	0.183043062	0	0.04547399	0	9.875986537	0.380185117	9.379489186	1.199422674	0.205383489	0	0.052364302	0.052364302	11.21684477	0.033894123	0.836196754	0.106930487	0.018310273	0	0.004668363	0	0.129909123	0.070862053	0.023146089	0.028375316	-0.047715965	24.67084788	7.820003231	45.66817533
6	1	6	19-1154	GVA-H-19-1154-006	BdBd	0.041055926	0.377908889	0.064292593	0.041256667	0	0.003492593	0	0	0.528006668	0.470395556	16.25830481	1.338803704	0.300707407	0	0.104714815	0	18.47292629	0.453592829	14.63644221	1.238423441	0.30527777	0	0.094280338	0	16.72801659	0.511451482	16.6362137	1.403096297	0.341964074	0	0.108207408	0.108207408	19.00093296	0.026917177	0.875547203	0.073843548	0.017997225	0	0.005694847	0	0.09753562	0.080273354	0.02271604	0.02778846	-0.057557315	32.52745233	11.85678683	48.64901013
7	1	7	19-1154	GVA-H-19-1154-007	BdBd	0.034686256	0.2793359	0.05376327	0.036598223	0	0	0	0	0.404383649	0.392837915	10.97658768	1.22686955	0.298595616	0	0.076340403	0.047776066	13.01900723	0.379205107	9.905803295	1.129727865	0.298765174	0	0.066187129	0.04189961	11.82158818	0.427524171	11.25592358	1.28063282	0.335193839	0	0.076340403	0.076340403	13.42339088	0.031849193	0.838530568	0.095403079	0.024970877	0	0.005687118	0.003559165	0.129620239	0.081132854	0.024816791	0.030125298	-0.056316063	26.3281572	8.789344927	33.58034149
8	1	8	19-1154	GVA-H-19-1154-008	BdBd	0.0334125	0.280143277	0.02682542	0	0	0.003726681	0	0	0.344107878	0.429714706	11.86648109	0.500375735	0.632013971	0	0.106383718	0.030249265	13.56521849	0.410272297	10.68704719	0.46565494	0.554908267	0	0.095961365	0.026528605	12.24037267	0.463127206	12.14662437	0.527201155	0.632013971	0	0.110110399	0.110110399	13.90932636	0.033296164	0.873271936	0.037902709	0.045438144	0	0.0079163	0.002174747	0.0934319	0.072145405	0.023063468	0.024739363	-0.049081938	26.22740407	23.03982882	19.2189175
9	1	9	19-1154	GVA-H-19-1154-009	BdBd	0.027687529	0.233644737	0.050706178	0.023639931	0	0	0	0	0.335678375	0.28844897	7.538691076	1.069160526	0.166810984	0	0.055943135	0	9.119054691	0.280657276	6.845076811	0.988359959	0.170099975	0	0.048502698	0	8.332696719	0.316136499	7.772335813	1.119866704	0.190450915	0	0.055943135	0.055943135	9.454733066	0.033436851	0.822057668	0.118445089	0.020143447	0	0.005916945	0	0.144505481	0.087580931	0.030061071	0.035503739	-0.057519861	24.58537954	6.940411555	40.81017838
10	1	10	19-1154	GVA-H-19-1154-010	BdBd	0.023584333	0.231985	0.028077333	0.047723333	0	0.001374333	0	0	0.332744332	0.399863	12.263	0.731728667	0.424263667	0	0.097877333	0.048949333	13.965682	0.374264184	10.986636	0.669803374	0.420226833	0	0.086233981	0.042928565	12.58009294	0.423447333	12.494985	0.759806	0.471987	0	0.099251666	0.099251666	14.29842633	0.029614961	0.873871341	0.053139135	0.033009717	0	0.00694144	0.003423407	0.096513698	0.055696024	0.018566249	0.023271395	-0.037129776	29.50776644	16.44496753	26.47315498
