row	column	plot	rep	block	family	individual	pedigree	inferred.group	harvest.date	pre.terminal.flowering.day	terminal.flowering.day	wet.biomass	dry.biomass	dry.stripped.biomass	pred.dry.biomass	pred.dry.stripped.biomass	trunk.length	basal.stem.diameter	primary.stem.volume	powdery.mildew.71dap	powdery.mildew.86dap	powdery.mildew.92dap	powdery.mildew.mean	powdery.mildew.audpc	chl.conc.index	grean.leaf.index	leaflet.number	middle.leaflet.width	middle.leaflet.area	leaf.mass	leaf.area	leaf.length	leaf.perimeter	leaf.circularity	specific.leaf.area	petiole.mass	petiole.area	petiole.length	petiole.perimeter	pertiole.circularity	specific.petiole.area	leafing.intensity	branching.pairs	internode.length	max.canopy.diameter	max.canopy.diameter.height	kite.hyp.a	kite.hyp.b	kite.area	kite.perimeter	kite.circularity	kite.branch.angle	kite.hyp.ratio	specific.kite.area	kite.volume	dry.stripped.biomass.prop	wet.biomass.leaf.fraction	wet.biomass.stem.fraction	canopy.leaf.number	canopy.leaf.area	canopy.leaf.perimeter	canopy.leaf.density	height.6dap	height.14dap	height.21dap	height.28dap	height.35dap	height.42dap	height.49dap	height.56dap	height.63dap	height.70dap	mean.growth.rate	day.max.growth.rate	growth.rate.mumax	growth.rate.y0
1	1	1	1	1	19-1154	GVA-H-19-1154-001	(AC/DC x Otto II #4) x TJ's CBD	BaOx.OttoII	2020-10-09	70	85	10.53	NA	NA	3.174735	1.771669	18	5.88	1448.249081	1	10	10	7	192.5	44.7	0.119294542	7	2.0304	21.23463856	0.3685	65.82442	15.63492	127.43234	0.050937496	178.6280054	0.0416	1.12976	4.72403	10.67046	0.124689469	27.15769231	3.319722886	6	8.33	156	114	90.55385	123.6932	11076	428.494	0.758059	39.09386	0.732084	3.488795128	1772160	0.558052562	5.876293476	4.653706524	4807.785617	316469.6997	0.178578514	0.003315893	45	49	62	70	92	117	138	152	160	160	1.825396825	42	0.035005104	26.92603038
2	1	2	2	1	19-1154	GVA-H-19-1154-002	(AC/DC x Otto II #4) x TJ's CBD	BaOx.OttoII	2020-10-09	70	85	7.13	2.32	1.12	2.180699	1.26763	2	4.91	1003.526246	10	5	10	8.333333333	195	49.9	0.111996988	6	1.95533	21.60058626	0.3743	69.36231	16.52436	139.61742	0.044715099	185.3120759	0.0519	1.52278	5.5318	12.3791	0.124873098	29.34065511	3.374768187	6	8.33	129	111	80.40056	126.6541	10126.5	414.1092	0.742061	30.61463	0.634804	4.643694522	1610113.5	0.581295264	4.144635229	2.985364771	3386.668448	234907.1467	0.145894775	0.002574126	46	51	66	78	100	119	145	147	159	159	1.793650794	49	0.031776846	32.60017723
3	1	3	3	1	19-1154	GVA-H-19-1154-003	(AC/DC x Otto II #4) x TJ's CBD	BaOx.OttoII	2020-10-09	70	85	6.45	NA	NA	1.981891	1.166823	8	5.29	1435.939169	15	20	25	20	510	37	0.152297136	7	1.90469	18.73028461	0.3552	62.59583	14.70142	130.63001	0.046096648	176.2269989	0.0652	1.49859	6.30383	15.16559	0.081879291	22.9845092	2.287683722	5	10	142	126	99.70456	137.7135	13348	474.8361	0.743941	31.03511	0.724	6.734981894	2616208	0.588742267	3.797387621	2.652612379	3284.974662	205625.7155	0.078596853	0.001451485	38	45	59	72	100	136	163	180	196	196	2.507936508	42	0.043716059	21.68009469
4	1	4	4	1	19-1154	GVA-H-19-1154-004	(AC/DC x Otto II #4) x TJ's CBD	BaOx.OttoII	2020-10-09	70	85	6.46	NA	NA	1.984815	1.168305	12	6.44	1606.948937	2	5	5	4	107.5	44.8	0.130952329	7	1.98274	19.30377892	0.3779	61.23012	14.54997	118.00615	0.05525425	162.0273088	0.0565	1.36778	4.83442	10.99146	0.14227066	24.20849558	1.923876841	7	7.14	128	113	72.94518	119.5701	8704	385.0305	0.7378	32.36094	0.610062	4.385295355	1288192	0.58862161	3.802495598	2.657504402	3091.571844	189297.315	0.14694806	0.002951808	39	45	59	65	83	105	127	135	148	148	1.73015873	42	0.032765371	26.48339612
5	1	5	5	1	19-1154	GVA-H-19-1154-005	(AC/DC x Otto II #4) x TJ's CBD	BaOx.OttoII	2020-10-09	70	85	7.38	NA	NA	2.253789	1.304692	11	5.51	1255.824384	1	10	15	8.666666667	220	44.1	0.125417982	7	1.922	18.58129231	0.3562	61.40404	14.45053	107.72249	0.066495774	172.3864121	0.0436	1.01296	4.33515	10.56218	0.114102466	23.23302752	2.916655751	8	6.25	118	115	72.42237	119.5701	8614	383.9849	0.734153	29.56658	0.60569	3.822008183	1352398	0.578888263	4.272195383	3.107804617	3662.807412	224911.1728	0.166305461	0.003158978	40	47	60	68	88	107	131	140	157	158	1.873015873	49	0.031689033	28.75037061
6	1	6	6	1	19-1154	GVA-H-19-1154-006	(AC/DC x Otto II #4) x TJ's CBD	BaOx.OttoII	2020-10-09	63	70	4.08	NA	NA	1.196974	0.815478	6	4.6	781.0941815	30	65	35	43.33333333	1262.5	44	0.130194966	5	1.74976	13.67809347	0.1841	34.56492	11.6734	75.73927	0.075718707	187.7507876	0.0231	0.81712	4.23411	9.4784	0.114294581	35.37316017	5.670940073	9	5.56	112	84	79.9062	96.02083	7560	351.8541	0.767373	35.67641	0.832176	6.315926662	1065960	0.681282969	2.779634512	1.300365488	4429.538294	153106.6368	0.143632629	0.002607635	45	46	54	64	85	110	130	135	141	141	1.523809524	42	0.038152586	22.30449147
7	1	7	7	1	19-1154	GVA-H-19-1154-007	(AC/DC x Otto II #4) x TJ's CBD	BaOx.OttoII	2020-10-09	63	85	7.51	NA	NA	2.291797	1.323964	11	5.12	1146.106617	2	20	10	10.66666667	330	43.3	0.137955974	6	1.64849	13.86798051	0.223	37.54184	12.57569	84.77641	0.065641028	168.3490583	0.022	0.52163	2.82552	7.46344	0.117677744	23.71045455	5.180197209	6	8.33	151	116	91.1112	129.3261	11778	440.8747	0.761467	35.71793	0.704507	5.139198629	1966926	0.57769689	4.338503646	3.171496354	5937.058296	222888.0926	0.113317986	0.002205728	40	44	61	77	100	125	148	158	167	167	2.015873016	42	0.038038891	26.69957184
8	1	8	8	1	19-1154	GVA-H-19-1154-008	(AC/DC x Otto II #4) x TJ's CBD	BaOx.OttoII	2020-10-09	70	85	5.39	NA	NA	1.671986	1.009681	4	4.98	883.0112171	0	20	15	11.66666667	342.5	43.9	0.139985028	5	1.98704	18.48468701	0.2799	52.93716	13.89728	109.4204	0.055561493	189.1288317	0.0299	0.91287	4.69385	10.83695	0.097679777	30.53076923	4.085216383	7	7.14	116	82	78.56844	97.20082	7598	351.5385	0.772615	36.63411	0.80831	4.544296424	1025730	0.603881253	3.254919951	2.135080049	3607.29189	190959.7879	0.186169643	0.003173272	33	35	49	60	79	99	120	128	135	136	1.634920635	49	0.037212113	21.46248244
9	1	9	9	1	19-1154	GVA-H-19-1154-009	(AC/DC x Otto II #4) x TJ's CBD	BaOx.OttoII	2020-10-09	78	85	6.39	NA	NA	1.964349	1.157928	6	4.59	717.0300387	50	60	50	53.33333333	1430	48	0.11697237	6	1.89611	16.8070096	0.2936	46.40031	13.24177	92.61136	0.067983297	158.039203	0.0335	0.78405	4.23056	11.35815	0.076372749	23.40447761	5.500322504	8	6.25	159	98	85.6986	121.5905	9858	414.5782	0.720752	40.83129	0.704813	5.018456496	1281540	0.589471626	3.766723693	2.623276307	3943.896458	182998.0182	0.142795401	0.002939217	45	49	62	72	84	106	124	128	130	130	1.349206349	42	0.028496213	31.80354589
10	1	10	10	1	19-1154	GVA-H-19-1154-010	(AC/DC x Otto II #4) x TJ's CBD	BaOx.OttoII	2020-10-09	63	70	6.05	NA	NA	1.772931	1.107524	2	4.3	759.9852968	2	15	10	9	265	39.8	0.14743344	6	1.91625	19.19658223	0.3329	51.93907	14.97776	107.99714	0.055960234	156.020036	0.0325	0.88634	4.11866	9.57861	0.121396239	27.272	4.377580698	7	7.14	117	93	86.70784	108.1816	9067.5	389.7788	0.75	32.73523	0.801503	5.114412236	1423597.5	0.624685337	3.779346292	2.270653708	3326.896966	172795.9344	0.121379768	0.002654786	39	43	53	69	89	115	136	145	157	157	1.873015873	42	0.038165469	23.5809495
11	1	11	11	1	19-1154	GVA-H-19-1154-011	(AC/DC x Otto II #4) x TJ's CBD	BaOx.OttoII	2020-10-09	70	85	5.5	NA	NA	1.704146	1.025988	13	5.96	1218.238841	2	25	20	15.66666667	450	48.8	0.13740715	7	1.53525	13.20724486	0.2852	46.58476	12.86744	113.55775	0.04539627	163.3406732	0.0413	1.00727	4.77256	11.89293	0.089490727	24.38910412	2.952978727	10	5	125	95	72.12662	103.1031	7375	350.4595	0.754564	37.31447	0.699558	4.327680844	966125	0.602054049	3.311297271	2.188702729	3597.43338	167585.5706	0.173461582	0.0034274	41	45	54	67	78	97	116	125	131	131	1.428571429	42	0.028395561	29.45506814
12	1	12	12	1	19-1154	GVA-H-19-1154-012	(AC/DC x Otto II #4) x TJ's CBD	BaOx.OttoII	2020-10-09	63	70	6.26	NA	NA	1.834327	1.138656	3	4.66	841.3993563	1	25	15	13.66666667	415	41.3	0.148352515	5	2.24585	21.28742792	0.344	62.59313	14.14679	104.08798	0.072599791	181.9567733	0.0512	1.35946	6.30955	15.07899	0.075133184	26.55195313	3.933977946	9	5.56	116	88	83.45058	102.9029	8410	372.7069	0.760801	34.30779	0.810965	4.584787772	1244680	0.620748645	3.885886519	2.374113481	3310.046512	207186.1716	0.16645738	0.003121996	36	40	52	63	83	100	126	138	148	148	1.777777778	49	0.035032597	24.00034004
13	1	13	13	1	19-1154	GVA-H-19-1154-013	(AC/DC x Otto II #4) x TJ's CBD	BaOx.OttoII	2020-10-09	63	70	3.61	NA	NA	1.059563	0.745802	7	3.51	474.1330117	40	60	40	46.66666667	1300	49.7	0.138961131	5	1.89865	16.22857678	0.2413	43.92582	12.76484	96.49493	0.059281714	182.0382097	0.0263	0.80283	4.2468	9.75463	0.106025872	30.52585551	6.518775542	10	5	103	94	73.90027	101.1002	7210	350.0009	0.739617	30.62358	0.730961	6.804692123	1059870	0.703876976	2.540995882	1.069004118	3090.76668	135764.4609	0.12809539	0.00239746	45	50	58	68	83	102	120	129	147	147	1.619047619	42	0.028798468	30.40410885
14	1	14	14	1	19-1154	GVA-H-19-1154-014	(AC/DC x Otto II #4) x TJ's CBD	BaOx.OttoII	2020-10-09	70	85	5.17	NA	NA	1.607666	0.977067	7	4.1	690.9330903	0.5	30	35	21.83333333	586.25	48.2	0.132678526	5	1.7855	14.23080454	0.24	41.26624	11.90191	87.80855	0.067256018	171.9426667	0.028	0.76612	4.16677	9.88979	0.098431142	27.36142857	5.892195	6	8.33	115	91	86.03633	101.7951	8510	375.6629	0.757779	34.39257	0.845191	5.293388054	1319050	0.607754969	3.14209319	2.02790681	4071.1125	167999.5055	0.127364016	0.002382088	43	45	50	61	75	99	120	136	155	157	1.80952381	42	0.035566554	21.93230431
15	1	15	15	1	19-1154	GVA-H-19-1154-015	(AC/DC x Otto II #4) x TJ's CBD	BaOx.OttoII	2020-10-09	70	85	3.84	NA	NA	1.218822	0.779899	16	4.09	643.7727318	1	15	10	8.666666667	257.5	49.6	0.130296072	7	1.44074	12.20319225	0.2326	41.37059	12.67243	118.89231	0.036778503	177.8615219	0.0278	0.75929	3.90711	9.15401	0.113866187	27.31258993	5.208301006	7	7.14	114	63	101.5135	73.87828	7467	350.7836	0.762566	50.49232	1.374065	6.126407301	1097649	0.639879326	2.457136612	1.382863388	3352.962167	138714.0231	0.126373753	0.002238545	44	47	54	59	77	97	113	131	147	147	1.634920635	42	0.033243423	23.81193016
16	1	16	1	1	TJ's CBD	TJ's CBD 1	TJ's CBD (Stem Holdings)	West.Coast	2020-10-09	63	70	3.66	NA	NA	1.074182	0.753214	3	3.26	311.6175075	2	25	25	17.33333333	477.5	43.3	0.164976168	5	1.77113	16.98126547	0.3	39.57864	14.33806	94.68558	0.055475732	131.9288	0.0313	0.68033	3.39368	7.83194	0.139376894	21.73578275	8.057035543	9	5.56	102	64	70.03571	79.51101	5559	299.0934	0.780895	39.89783	0.88083	5.175100681	622608	0.701197749	2.56638376	1.09361624	2510.713333	99370.61916	0.159603826	0.00412199	NA	NA	NA	NA	NA	NA	NA	104	112	112	NA	NA	NA	NA
