row	column	plot	family	individual	pedigree	type	canopy.height.23dap	canopy.area.23dap	canopy.volume.23dap	ndvi.23dap	evi.23dap	gci.23dap	gdvi.23dap	mnli.23dap	msavi2.23dap	osavi.23dap	canopy.height.34dap	canopy.area.34dap	canopy.volume.34dap	ndvi.34dap	evi.34dap	gci.34dap	gdvi.34dap	mnli.34dap	msavi2.34dap	osavi.34dap	canopy.height.35dap	canopy.area.35dap	canopy.volume.35dap	ndvi.35dap	evi.35dap	gci.35dap	gdvi.35dap	mnli.35dap	msavi2.35dap	osavi.35dap	canopy.height.50dap	canopy.area.50dap	canopy.volume.50dap	ndvi.50dap	evi.50dap	gci.50dap	gdvi.50dap	mnli.50dap	msavi2.50dap	osavi.50dap	canopy.height.56dap	canopy.area.56dap	canopy.volume.56dap	ndvi.56dap	evi.56dap	gci.56dap	gdvi.56dap	mnli.56dap	msavi2.56dap	osavi.56dap	canopy.height.69dap	canopy.area.69dap	canopy.volume.69dap	ndvi.69dap	evi.69dap	gci.69dap	gdvi.69dap	mnli.69dap	msavi2.69dap	osavi.69dap	canopy.height.79dap	canopy.area.79dap	canopy.volume.79dap	ndvi.79dap	evi.79dap	gci.79dap	gdvi.79dap	mnli.79dap	msavi2.79dap	osavi.79dap	canopy.height.93dap	canopy.area.93dap	canopy.volume.93dap	ndvi.93dap	evi.93dap	gci.93dap	gdvi.93dap	mnli.93dap	msavi2.93dap	osavi.93dap
1	1	1	19-1154	GVA-H-19-1154-001	(AC/DC x Otto II #4) x TJ's CBD	Seed	0.456	0.075788501	0.022473084	0.265587103	0.104005197	1.292033041	0.347520167	-0.058605225	0.08856845	0.158901655	0.748	0.364726	0.170403758	0.074910229	0.970485693	1.042315265	0.3223526	0.365494645	0.581694008	0.539034927	0.828	0.3658	0.190217026	0.076169802	0.363300869	3.349450592	0.615947581	0.052773643	0.321323268	0.45705927	0.643	0.687393001	0.266368511	NA	NA	NA	NA	NA	NA	NA	0.188	0.3421275	0.022387704	0.020766671	0.379292389	5.471747391	0.718624123	0.067369638	0.342539564	0.488799716	1.548	1.403645503	1.022612797	0.040467615	1.055568315	2.176958423	0.48697973	0.411549046	0.657587359	0.604580411	0.815	0.278215	0.120275336	0.092438822	1.41030105	NA	0.519197592	0.570457089	0.754263564	0.655278253	1.2334	0.65513925	0.304747915	0.130234738	1.428420134	1.34139685	0.389967693	0.324750161	0.472002802	0.407150263
2	1	2	19-1154	GVA-H-19-1154-002	(AC/DC x Otto II #4) x TJ's CBD	Seed	0.594	0.143276	0.05460773	0.281819792	0.173101556	2.383337142	0.488218303	-0.017155045	0.149231826	0.254654246	0.95	0.770101	0.444299079	0.054324877	1.012207515	1.388931299	0.389127392	0.409757819	0.623498206	0.572858847	1.01	0.825192001	0.518760982	0.018888305	0.399987373	3.904986638	0.656632662	0.068000624	0.355441875	0.490996016	0.711	0.5199425	0.222202803	NA	NA	NA	NA	NA	NA	NA	0.287	0.274126499	0.050680279	0.020089366	0.40262359	5.754457582	0.728061161	0.080163799	0.367590454	0.507496	0.541	0.765883	0.20377502	0.051017025	0.908656867	2.447571879	0.522782495	0.384736901	0.651604602	0.604924905	0.676	0.565544001	0.158429903	0.040972485	1.451220244	1.53656908	0.419151161	0.464680075	0.683449291	0.612546442	0.8787	0.641072257	0.21490942	0.094310293	1.379233637	0.916080715	0.289533367	0.404901644	0.530629994	0.456172733
3	1	3	19-1154	GVA-H-19-1154-003	(AC/DC x Otto II #4) x TJ's CBD	Seed	0.498	0.068858	0.02564484	0.308157774	0.139175418	1.491253686	0.378649169	-0.04378793	0.119831678	0.204836359	0.882	0.835354501	0.449313534	0.055205875	0.950890247	1.281021023	0.376522072	0.405928506	0.631419061	0.589801828	0.942	0.972502001	0.58964542	0.063639128	0.361190876	3.461867192	0.626664332	0.0557459	0.320732356	0.461369182	0.607	0.768597502	0.281713994	0.067636104	0.908239572	2.435482212	0.510469942	0.347681453	0.628626445	0.593505092	0.316	0.4774535	0.087638709	0.023134433	0.353506049	5.933301995	0.73055024	0.05917426	0.318949974	0.475611079	0.603	0.978419002	0.215932185	0.067292948	0.731129307	2.198976023	0.485921552	0.269415701	0.582145925	0.57422763	0.673	0.382486001	0.092473094	0.04768602	1.645300032	1.026588002	0.321943459	0.420077862	0.654575856	0.593065651	0.675	0.247810946	0.068334723	0.205200292	1.118039541	0.561080184	0.197858103	0.223804579	0.397773495	0.348011535
4	1	4	19-1154	GVA-H-19-1154-004	(AC/DC x Otto II #4) x TJ's CBD	Seed	0.451	0.0851795	0.027767208	0.284371284	0.163485609	1.79154946	0.423115923	-0.036716571	0.140506036	0.234728093	0.743	0.42975	0.196269038	0.09817205	0.996724414	1.424825478	0.397846511	0.421407668	0.62815962	0.573104195	0.792	0.514056	0.244519029	0.046610969	0.360297191	3.634579943	0.639751553	0.048392802	0.315761287	0.459349422	0.598	0.631967501	0.186022521	0.068045131	0.954982896	2.253933428	0.50009118	0.343265218	0.615200815	0.576809597	0.244	0.374023002	0.039668688	0.018207577	0.379471215	5.306574835	0.717536939	0.067074797	0.342225725	0.488039418	0.781	0.517196001	0.197684919	0.064102791	0.804728316	1.970030424	0.456958638	0.342012818	0.602671417	0.566160967	0.648	0.280789001	0.093373837	0.04235449	2.129106851	1.046410339	0.324241194	0.411633024	0.634688984	0.574928845	0.7689	0.330566765	0.132224303	0.165908805	2.021559304	0.961707887	0.303764835	0.280193356	0.425134881	0.365156691
5	1	5	19-1154	GVA-H-19-1154-005	(AC/DC x Otto II #4) x TJ's CBD	Seed	0.505	0.0878805	0.030373267	0.267676583	0.169917884	1.810598004	0.430854831	-0.021557412	0.146493701	0.244393297	0.786	0.453681501	0.204728518	0.063776119	0.952020059	1.628553421	0.428768277	0.402368401	0.624626324	0.582952471	0.876	0.495296	0.256340762	0.019150992	0.36617108	3.392597724	0.626872553	0.05304679	0.322901091	0.469460193	0.662	1.133362001	0.437565463	0.053221437	1.071561742	2.062016546	0.484095472	0.461266295	0.676596383	0.614403307	0.228	0.311283002	0.034318564	0.01780714	0.389255702	5.72119773	0.731555343	0.076193223	0.355480614	0.502050159	1.166	1.234809001	0.741911109	0.050818977	0.847783178	2.422003025	0.517990365	0.401218001	0.653202676	0.603228768	0.925	1.308424002	0.733797307	0.06752165	0.191740177	1.297507973	0.368566745	0.471916937	0.663636793	0.588891604	0.9268	1.367555406	0.769044757	0.088078552	NA	1.012733076	0.313877637	0.448100137	0.567180945	0.488540561
6	1	6	19-1154	GVA-H-19-1154-006	(AC/DC x Otto II #4) x TJ's CBD	Seed	0.414	0.0232555	0.005811056	0.272795088	0.055563759	0.58276214	0.169073097	-0.067758796	0.046295033	0.082783682	0.625	0.1170925	0.047656223	0.357155662	0.915969246	0.733538181	0.193690665	0.090247791	0.348981573	0.340985283	0.73	0.1997035	0.088623821	0.161156945	0.27215562	2.505557184	0.535319583	0.014330253	0.233067806	0.365896677	0.503	0.892748002	0.254320108	0.06904475	0.95022811	2.380121042	0.516694608	0.339038242	0.616767298	0.58445148	0.157	0.162771999	0.012597747	0.018379038	0.350523204	5.695938282	0.730972056	0.055935722	0.31527673	0.470639575	0.702	0.850640503	0.313970009	0.061617858	0.792844445	1.641212992	0.423467304	0.277469615	0.569862695	0.554354714	0.38	0.4702235	0.09640033	0.061343244	4.147564931	0.948167815	0.309581427	0.327530326	0.554443006	0.505148375	0.6797	0.613845351	0.223039274	0.056348208	-1.516885576	0.40406893	0.161577763	0.285262768	0.461106961	0.402450914
7	1	7	19-1154	GVA-H-19-1154-007	(AC/DC x Otto II #4) x TJ's CBD	Seed	0.545	0.101185	0.037714551	0.329799669	0.133053044	1.474124711	0.344090469	-0.039409066	0.113902	0.192682496	0.837	0.3197245	0.175800246	0.090559594	1.116800268	1.208346596	0.356837689	0.41240732	0.617706946	0.567079697	0.959	0.409027501	0.24007098	0.044565898	0.341035101	3.426390909	0.626137185	0.043418756	0.298366166	0.445599358	0.714	1.001154001	0.39986924	0.056502729	0.988677103	2.316645717	0.507084009	0.396119147	0.648707044	0.601210281	0.257	0.410223499	0.053253029	0.01843222	0.360649078	5.694510371	0.729030307	0.061681762	0.325643315	0.479103753	0.86	0.982173003	0.425480908	0.057304891	0.899569602	2.112021424	0.458945624	0.306496161	0.603053436	0.582314285	0.854	0.407353501	0.133939653	0.069544843	2.193428711	1.494781426	0.401645591	0.399337025	0.628679859	0.57126603	0.9223	0.354887072	0.130556047	0.083002695	3.602024755	0.726766878	0.248142805	0.413358264	0.594390084	0.527077215
8	1	8	19-1154	GVA-H-19-1154-008	(AC/DC x Otto II #4) x TJ's CBD	Seed	0.398	0.0590465	0.013612505	0.322347612	0.089745069	0.952527266	0.244716898	-0.053328754	0.075786751	0.13170609	0.612	0.2199105	0.076275928	0.168651644	1.17655172	0.8119802	0.266175072	0.309855983	0.528264657	0.491739264	0.689	0.263242	0.111752471	0.067506228	0.32392724	3.118306567	0.602854076	0.035465873	0.281420514	0.428369311	0.537	0.822219501	0.2362583	0.050823917	1.06341242	1.758286345	0.450160977	0.425174129	0.643642035	0.587667518	0.187	0.204703998	0.0177924	0.017469603	0.360428013	5.168365002	0.710002592	0.060472359	0.32468243	0.477378741	0.734	1.196062002	0.391576751	0.058080983	1.182351395	1.569169963	0.396824962	0.336862398	0.613002254	0.578970804	0.363	0.34713	0.063198388	0.063871877	-15.34632645	1.252089527	0.358909285	0.430494788	0.632363716	0.565147194	0.4802	0.414736141	0.084401214	0.095010742	25.42693493	0.842139421	0.271601904	0.456275508	0.608388103	0.531500618
9	1	9	19-1154	GVA-H-19-1154-009	(AC/DC x Otto II #4) x TJ's CBD	Seed	0.472	0.087158501	0.023042367	0.32798007	0.129635816	1.368943532	0.328558493	-0.047642878	0.110418002	0.186795157	0.643	0.3062975	0.112201828	0.055316991	1.125726883	1.151288318	0.352434378	0.391281566	0.605539297	0.558204448	0.744	0.3779895	0.170736187	0.043122579	0.353560156	3.497653704	0.630176199	0.04672315	0.309369107	0.453502491	0.507	1.223744003	0.386327113	0.066109961	0.968720031	2.062461596	0.483014164	0.389803909	0.635910304	0.585491015	0.049	0.118063501	0.001877471	0.028709756	0.36444675	5.681482107	0.724511389	0.061977787	0.329349077	0.482663735	0.906	0.569384001	0.204184544	0.053776545	1.468090971	1.432479437	0.387272856	0.409595133	0.655247723	0.598814042	0.759	0.689222502	0.243540704	0.064858285	1.595569886	1.132773907	0.344479199	0.419056273	0.617993356	0.553442555	0.5213	0.34322454	0.095947779	0.080227916	-1.103311157	0.743950613	0.258063945	0.339843871	0.498374628	0.433484691
10	1	10	19-1154	GVA-H-19-1154-010	(AC/DC x Otto II #4) x TJ's CBD	Seed	0.464	0.067985501	0.018165765	0.309014468	0.101635955	0.963456869	0.263364241	-0.047403743	0.085547825	0.148213882	0.73	0.278217	0.112623362	0.092920043	1.193565247	0.759984444	0.262569759	0.345028457	0.562483377	0.518946223	0.767	0.338612	0.158803307	0.031523898	0.339690382	2.923268864	0.590048724	0.038735161	0.294404973	0.440313069	0.619	1.030965002	0.336317049	0.087843442	0.938791025	1.912265215	0.455790272	0.372104685	0.599476401	0.557577689	0.221	0.359629	0.035541505	0.025209328	0.365067773	4.843541623	0.692053192	0.061486636	0.327844293	0.477060643	1.339	0.959196501	0.53297199	0.060892105	1.447044709	0.961771094	0.286187403	0.330864993	0.595220487	0.566594054	0.499	0.633905501	0.105307821	0.078830152	1.74368444	0.591310486	0.210821103	0.354268123	0.570716076	0.516121301	0.608	0.821926742	0.161191728	0.186264908	NA	0.279069996	0.10451511	0.152664766	0.315842622	0.27068559
