	Citrus Fire	RN17	Hliana	Rocky Hemp	Bialobrzeskie	Colorado Cherry	Stable Fire Cherry 308	CW x Harlequin Tsunami	USO-31 (A)	Cherry Wine (B)	Fibranova	Nebraska Feral x AC/DC	SS Alpha	Cherry Wine (C)	RN-13A (A)	Authentic Hemp	Bama	RN-13A (B)	FL70 S1	Tangerine (A)	Franklin	Kataini	Martha	X-59	Elektra (B)	Cascade OG	Grandi	URCBD 1	URCBD 7	Han-FH-Q	Oregon CBD	Illinois Feral	Sour Space Candy (B)	SC-1 x Logan	Brilliance (herm)	Otto II (B)	Keystone NY Feral	#5	Cherry (A)	Sterling Gold	Wojko	Anka	RN16	Cherry x Wulf	Cherry Wine (D)	Canda	URCBD 5	Ferimon	Rogue	Joey	18AB092701 (WI)	RNF	Sisters F1	Eletta Campana	Lifter (B)	Pewter River	A2R4 x AC/DC	Earlina 8	Yuma	Elektra 1	Cherry Wine x C	Dead Lights	SC-1	Cobbler	CRS-1	R4 x Wife x Hemp	Otto II (A)	Han-Cold	Brilliance	KG9201	Han-FN-H	Pineberry	Carmagnola Selezionata	Special Sauce (B)	Berry Blossom	Oregon Bush	BaOx (C)	Cherry x 5	Si-1	Wild Horse	Tangerine (C)	TJ's CBD S1 (female)	Vermont Sauce	18AB092101 (WI)	Cherry Wine (standard)	Han-NE	AC/DC x Otto II (A)	Bish Feral	Tangerine (B)	Anka x Logan	Cherry (B)	Nebraska Feral	18AB092801 (WI)	Wolf	Berry Blossom (standard)	Carmagnola	Lifter (A)	FL70	TJ's CBD (B)	A2R4	Hawaiian Haze (B)	TJs CBD S1 (male)	Super Cherry F2	Fermion	FL80	RN19	Victoria	18AB092702 (WI)	RNA Auto	Logan 20	Cherry Wine (A)	Fedora 17	18AB101101 (WI)	Cherry 5	Cherry 308	Cherry x BaOx	Cherry Wine (dwarf)	Sour Space Candy (A)	NWG 331	Hass Hemp	Tygra	FL49	XYZ	Puma	Futura 75	CFX-1	Deschutes	Swift	Picolo	Hawaiian Haze (A)	Marten's Kashong	T-2 (B)	Special Sauce (C)	TJ's CBD (A)	Late Sue (B)	Sisters F2	Hlukhivskii-51	Magic Bullet	CBDawg	FL58	Umpqua	AC/DC x Otto II (B)	VT Cherry	Double Cherries (B)	Green Mountain	FL71	18AB100501 (WI)	Box Wine	Cherry x A	Stout	Cherry x 2	BaOx (A)	NWG Elite	Fresh Start	USO-31 (B)	URCBD 4	AC/DC	A2R4 x Nebraska Feral	NY Cherry	Double Cherries (A)	Elektra (A)	Sour Tsunami	FL71 S1	Cherry 307	Berry Blossom (dwarf)	NY Feral 2019	BaOx (B)	Portugal	Georgina	Hlesia	Suver Haze	KG9202	Cascade	T-1 (B)	ABC	T-2 (A)	URCBD 6	Helena	URCBD 3	Han-NW	Cherry (C)	Felina 32	CFX-2	Special Sauce (A)	URCBD 2	Young Slim	T-1 (A)	Late Sue (A)	AC/DC x Otto II (C)	Dell Riley Field
Citrus Fire	0	0.28451458	0.35460067	0.31698924	0.3573493	0.30560306	0.28841653	0.2897323	0.35640916	0.3113996	0.33356494	0.30483803	0.31757823	0.27572316	0.26824123	0.29006165	0.31169012	0.2594323	0.30349085	0.29984683	0.26420996	0.36068872	0.33655718	0.35356686	0.27359277	0.27193338	0.36089554	0.27253973	0.34371787	0.31407687	0.30691487	0.35541564	0.27365768	0.32833242	0.29216734	0.24843566	0.33404103	0.35098007	0.29779452	0.32765245	0.35346767	0.3474502	0.3130975	0.3007037	0.26174772	0.35468987	0.33668864	0.3575505	0.2757854	0.35136774	0.33410403	0.25487944	0.28394008	0.32449353	0.26427853	0.3211689	0.33662552	0.3727641	0.30630907	0.27391493	0.26761153	0.2742065	0.3289437	0.28175768	0.3512902	0.29378662	0.28261378	0.3087673	0.28877488	0.28697464	0.32576331	0.28442723	0.33037153	0.2894895	0.2874715	0.2871934	0.25397265	0.3333469	0.30805	0.3282367	0.2959545	0.30471808	0.2739311	0.3459097	0.2603415	0.31064415	0.26705554	0.3425404	0.29568163	0.3448276	0.32276392	0.34318635	0.3468743	0.3303596	0.2948842	0.33908272	0.28281516	0.30430132	0.2970575	0.3179311	0.2642507	0.32211283	0.28263536	0.36360303	0.301474	0.25759608	0.33576462	0.33457443	0.26439345	0.3490492	0.2938096	0.35724422	0.33921215	0.2753605	0.2671061	0.28364247	0.27504227	0.27727187	0.3444672	0.25829276	0.35235703	0.3023695	0.29796487	0.3061541	0.35027894	0.35821065	0.28612623	0.37128577	0.3636987	0.27429956	0.35937262	0.28950775	0.29230726	0.2991353	0.2712397	0.27652666	0.35650438	0.2917327	0.28360066	0.3006002	0.28150958	0.24187839	0.29247713	0.28929323	0.28656623	0.3012461	0.33359015	0.28756604	0.29387355	0.25674	0.30743363	0.21992397	0.3592479	0.29342383	0.3591165	0.31183326	0.30001935	0.31773102	0.28885958	0.27366492	0.27373332	0.3102517	0.29908642	0.29011232	0.285471	0.30245113	0.28128836	0.36074984	0.3301097	0.3554327	0.2672558	0.27754325	0.29800475	0.2981004	0.29967767	0.30561465	0.32677048	0.35062903	0.3046639	0.31308305	0.26624733	0.3559696	0.35874566	0.24681272	0.3043274	0.2396676	0.3111197	0.27099785	0.2565813	0.355707
RN17	0.28451458	0	0.34185407	0.32333508	0.3498856	0.22940178	0.23217544	0.26542914	0.34194255	0.2716637	0.32360247	0.3130218	0.31375146	0.21110596	0.2656951	0.26536453	0.30144	0.32177237	0.1820768	0.28992966	0.26611632	0.35507548	0.3170422	0.3484113	0.26144	0.2859219	0.33861336	0.21993597	0.342172	0.2968974	0.28085092	0.33482826	0.27504706	0.31139305	0.24447577	0.30012098	0.31938234	0.34446344	0.24671076	0.3103062	0.34873766	0.34293988	0.25716203	0.25808564	0.21755534	0.33332923	0.31248876	0.3481611	0.24592936	0.3498576	0.31796908	0.2925573	0.2571301	0.31895015	0.2754779	0.31896532	0.32451218	0.34720287	0.3029886	0.26575938	0.2778404	0.2556647	0.32614553	0.2789991	0.32859522	0.30860677	0.27906474	0.3024503	0.24116479	0.2743699	0.31122762	0.27180284	0.3247026	0.2564149	0.22911951	0.24614026	0.28360248	0.3321414	0.29298136	0.32493922	0.27468094	0.26204708	0.2943931	0.32894573	0.22555928	0.30264732	0.29806304	0.3268654	0.27473044	0.32420126	0.30055574	0.3244363	0.32684568	0.32124072	0.23339437	0.3315201	0.2732595	0.19042197	0.2526506	0.30535254	0.28107256	0.30387592	0.25707403	0.35520378	0.20742272	0.24633849	0.31852996	0.3169021	0.29325128	0.3271407	0.20479156	0.34442925	0.316403	0.22353406	0.20587195	0.28632176	0.20492604	0.26982355	0.33769488	0.25064364	0.34267294	0.19687414	0.2914178	0.30084467	0.3254248	0.3378684	0.27483672	0.3643124	0.35196832	0.28527325	0.3413631	0.2857438	0.281212	0.26656428	0.27691472	0.250183	0.34092227	0.29039744	0.28323188	0.20063718	0.2732311	0.23799717	0.29934117	0.23111898	0.3183609	0.2028228	0.31391102	0.29538348	0.22294548	0.2365416	0.3137153	0.28902933	0.34743568	0.24917936	0.33939835	0.28815302	0.30526814	0.313379	0.23613767	0.21965376	0.2566124	0.24827778	0.19545433	0.21023965	0.21693265	0.28388935	0.30803972	0.35551625	0.3130247	0.33558604	0.2652925	0.25517234	0.25755808	0.29213783	0.21044412	0.27991277	0.28150713	0.3287977	0.2590877	0.30269185	0.299494	0.34928307	0.3329354	0.30120194	0.2625935	0.30531085	0.29651937	0.2912566	0.2807384	0.34715948
Hliana	0.35460067	0.34185407	0	0.3300069	0.26602495	0.32426748	0.34613806	0.35745078	0.21570745	0.3413079	0.30820042	0.32728925	0.33000252	0.34959796	0.36023858	0.36249608	0.32052672	0.35358778	0.3521558	0.36084294	0.34423113	0.25907767	0.2845917	0.2669344	0.35902992	0.3619453	0.25004813	0.36620057	0.29585943	0.318174	0.3482524	0.25899854	0.3538078	0.3035455	0.32188675	0.35642496	0.29815415	0.29442197	0.36081436	0.31623858	0.26894394	0.25205296	0.343211	0.33969513	0.36672726	0.22840376	0.28340316	0.23458205	0.34312972	0.24984795	0.29018942	0.35428193	0.34746924	0.31393403	0.3533677	0.33261845	0.31348267	0.26099432	0.32108784	0.35530293	0.36227095	0.3566281	0.340661	0.3430704	0.2505733	0.35759932	0.359253	0.31525916	0.33266354	0.33284676	0.29369244	0.358404	0.29811433	0.3611665	0.36318114	0.36424702	0.3401164	0.3094053	0.3252529	0.33444825	0.34369224	0.33796424	0.35707626	0.29539764	0.34815425	0.31171063	0.3507639	0.3022219	0.3429411	0.2649486	0.31881028	0.32548225	0.30106264	0.31343448	0.3501351	0.30034006	0.35529444	0.34681818	0.34016886	0.29852775	0.36166388	0.29246315	0.34321004	0.26390067	0.34564027	0.35179046	0.2867696	0.28770977	0.3545414	0.28867126	0.361451	0.24948752	0.2880766	0.3554762	0.34759572	0.33340502	0.35001776	0.3526264	0.28858563	0.36434057	0.2660482	0.34757417	0.36845937	0.31775275	0.26516816	0.24565977	0.33336964	0.26295808	0.26332048	0.35957247	0.24560031	0.35841575	0.35392964	0.3526948	0.3464151	0.34163767	0.22629742	0.36905923	0.35551292	0.34667742	0.33306915	0.35133636	0.34397182	0.36569053	0.33276123	0.34594798	0.2825228	0.35343584	0.36257184	0.34922227	0.30487806	0.33824196	0.29835832	0.35503924	0.21080644	0.32711467	0.33316144	0.32653758	0.34351853	0.36686313	0.359356	0.3413812	0.35001525	0.35029018	0.34789738	0.323808	0.3569826	0.26021132	0.2895127	0.23294137	0.35780242	0.34344947	0.34951854	0.35896674	0.36496675	0.34589398	0.32317773	0.26377028	0.34286734	0.31064832	0.3553076	0.2656173	0.25100812	0.3609263	0.34422997	0.35335016	0.3590593	0.3601764	0.34286106	0.27239126
Rocky Hemp	0.31698924	0.32333508	0.3300069	0	0.33448154	0.32764983	0.32731473	0.3164953	0.33481598	0.33168048	0.31412923	0.31960565	0.26515615	0.32072532	0.32290927	0.31547007	0.28343388	0.31677255	0.3220451	0.31489116	0.32076153	0.3365308	0.3252528	0.33029702	0.3179453	0.31354466	0.33780405	0.32191	0.3038043	0.2635784	0.32404009	0.3268453	0.3143151	0.30259863	0.32316196	0.31586957	0.33289456	0.3165041	0.33049348	0.29597363	0.33378828	0.33046722	0.3150894	0.3152822	0.3231369	0.33240908	0.30633897	0.33111084	0.3181427	0.32794806	0.32209006	0.31882018	0.31604466	0.29621497	0.31879288	0.27194682	0.32061675	0.34550926	0.28061292	0.31934744	0.31645024	0.31634846	0.27586296	0.31684566	0.32731533	0.31901437	0.314864	0.27708274	0.32435706	0.31448758	0.28642172	0.31706986	0.31856877	0.3177884	0.32174712	0.32131028	0.31074426	0.29464087	0.27596992	0.3303891	0.31205988	0.31062678	0.32024172	0.33579895	0.3183522	0.26191348	0.31216124	0.32905743	0.31357682	0.33450136	0.31511837	0.333388	0.3364744	0.31365153	0.3191931	0.32025865	0.31815827	0.3242332	0.31246462	0.31888336	0.31693354	0.32601652	0.31889924	0.33685565	0.32118773	0.3164023	0.32303128	0.32357392	0.31951523	0.33198595	0.32252377	0.32972658	0.32961047	0.31917375	0.31834748	0.31617236	0.31590933	0.31753868	0.3226542	0.3209729	0.3278752	0.3211786	0.32252648	0.27733973	0.33040679	0.33087963	0.31377897	0.34246716	0.33702356	0.31793967	0.34005776	0.31441423	0.3013702	0.313788	0.32004845	0.31831628	0.33299506	0.3243011	0.31716633	0.31979594	0.31644845	0.32469097	0.30542108	0.3245394	0.31703648	0.32176593	0.32449305	0.31802687	0.3237693	0.31944156	0.3278533	0.3182619	0.32493612	0.3177215	0.33366698	0.28148854	0.2997666	0.32489097	0.32112995	0.32438305	0.3204891	0.32570323	0.32173294	0.32402346	0.3194312	0.30271503	0.31351867	0.3389547	0.31965345	0.33336383	0.3142296	0.31724787	0.31402862	0.31240296	0.32257947	0.31434345	0.31265354	0.3296751	0.29531628	0.26179087	0.31869867	0.33209226	0.3330665	0.3113109	0.30069548	0.32206085	0.30928415	0.32001007	0.3180217	0.33307335
Bialobrzeskie	0.3573493	0.3498856	0.26602495	0.33448154	0	0.33370528	0.3507013	0.3557321	0.26327577	0.33589596	0.30111602	0.33157128	0.3262196	0.34561303	0.35797516	0.35567033	0.33263177	0.36268994	0.35376424	0.35697258	0.36108348	0.25696847	0.28637248	0.2685855	0.3569473	0.35613415	0.25232458	0.3587624	0.3015791	0.32853186	0.33623973	0.25179383	0.34929654	0.3185762	0.33517486	0.3576424	0.29616314	0.27676094	0.35388172	0.3221879	0.2335042	0.27299958	0.35389373	0.33426198	0.35597664	0.26713166	0.30192554	0.25125137	0.35013196	0.2617844	0.29139358	0.35792556	0.35427788	0.31172454	0.35395	0.33233228	0.32132304	0.25331748	0.3296325	0.3499041	0.3639778	0.35150295	0.34058285	0.34278652	0.2663784	0.3612296	0.35750353	0.33368585	0.34045166	0.34105268	0.3175157	0.3544027	0.29492325	0.3585849	0.35691702	0.35932952	0.35254624	0.29527712	0.33115488	0.3232229	0.3554217	0.34744418	0.35021275	0.30210894	0.3574726	0.3342478	0.35085472	0.31093603	0.3547055	0.27319333	0.3114351	0.31437618	0.30771676	0.30833998	0.3547027	0.2876649	0.35529777	0.35090384	0.34799752	0.3022003	0.35962015	0.31073242	0.35323873	0.23689614	0.3488197	0.35845757	0.2851955	0.29548758	0.35239258	0.2958184	0.3507763	0.24892163	0.29475558	0.36030823	0.356331	0.35018796	0.36202994	0.35181284	0.27312317	0.361809	0.24670753	0.35257253	0.3601582	0.33454573	0.26694506	0.25602752	0.34518883	0.2587704	0.25359467	0.3613171	0.25527465	0.35672995	0.34803233	0.3502239	0.36176187	0.35178378	0.2759184	0.366008	0.35189474	0.35149196	0.3470324	0.3578219	0.3456381	0.3532438	0.33344653	0.35406414	0.2901689	0.34483913	0.35411918	0.36099854	0.31071427	0.35022315	0.27709594	0.34979448	0.25938758	0.34424353	0.34043372	0.33542234	0.3511363	0.36557242	0.35814536	0.3318462	0.3568669	0.35375673	0.35353887	0.34012356	0.35999766	0.25475943	0.28809604	0.25607383	0.35411933	0.35433504	0.3576706	0.3556812	0.35473633	0.35440743	0.32079142	0.26781142	0.34102207	0.32398486	0.34954968	0.23566571	0.26762983	0.36193085	0.34746328	0.34504318	0.35659072	0.3618534	0.35476977	0.24364522
Colorado Cherry	0.30560306	0.22940178	0.32426748	0.32764983	0.33370528	0	0.24887563	0.27043685	0.32753977	0.27700177	0.31924835	0.30855757	0.31784737	0.26346186	0.28563866	0.29018202	0.30094886	0.3384554	0.2278696	0.30686477	0.3045142	0.3397751	0.30749422	0.3390877	0.28461444	0.31103846	0.32391542	0.2248515	0.33823028	0.3049759	0.2869545	0.31880727	0.29128844	0.31021768	0.2599873	0.3296177	0.31306404	0.33381832	0.24490246	0.31301123	0.33626106	0.33203623	0.27708706	0.26821116	0.2102768	0.31966946	0.30964932	0.3313296	0.2645984	0.33353162	0.3077211	0.3000689	0.28384358	0.31866968	0.2794848	0.323726	0.31488335	0.3388786	0.30069783	0.26648316	0.2880224	0.26244926	0.32863238	0.2939092	0.31831926	0.30974814	0.31418973	0.3019026	0.26876882	0.28430972	0.31047016	0.27995217	0.3100402	0.26754937	0.24059728	0.27847248	0.26625025	0.33381706	0.29951903	0.3089082	0.2890598	0.29243603	0.2994475	0.31500193	0.22393616	0.30682108	0.32009813	0.3154698	0.28753006	0.31591138	0.31073245	0.32122466	0.31953984	0.3169106	0.2454579	0.3244873	0.2771464	0.22008738	0.27648634	0.28534508	0.27508408	0.3078142	0.28076705	0.3384113	0.21114196	0.25936255	0.3058888	0.30568317	0.3011737	0.3160823	0.24826053	0.32359904	0.30877706	0.22976024	0.24211621	0.28171426	0.24642713	0.27611062	0.32682866	0.2909214	0.32855412	0.2169999	0.30961925	0.3029217	0.3073175	0.32074204	0.2799501	0.34819266	0.3389222	0.29274082	0.32714728	0.2996077	0.30615416	0.2925613	0.3131552	0.25116423	0.325284	0.30036232	0.2981762	0.21499048	0.27471218	0.2657977	0.30320844	0.2668085	0.31909442	0.21941249	0.3023423	0.29431012	0.2100687	0.27655125	0.30813494	0.29899266	0.3383002	0.25580204	0.3260941	0.28755376	0.32284054	0.31573284	0.26632637	0.2453274	0.28037408	0.27119216	0.22980914	0.18485613	0.25560993	0.29639798	0.30592906	0.34213293	0.30401334	0.32272124	0.26745942	0.269445	0.29241192	0.3052081	0.22940367	0.29298174	0.2896732	0.30976918	0.26165318	0.30002514	0.3158094	0.33840656	0.31480342	0.32372484	0.25816774	0.32766306	0.32131907	0.32677042	0.30493474	0.33312175
Stable Fire Cherry 308	0.28841653	0.23217544	0.34613806	0.32731473	0.3507013	0.24887563	0	0.2655566	0.3418153	0.27786446	0.33319452	0.30337447	0.3197456	0.24825032	0.28457236	0.29409122	0.3104434	0.32959664	0.23511977	0.2965317	0.30061817	0.35763034	0.31846073	0.35477602	0.2702765	0.29376936	0.33818492	0.25184903	0.34177735	0.30436674	0.30616125	0.33594957	0.294549	0.30891642	0.2441246	0.32154462	0.31955916	0.3469683	0.24969685	0.31039375	0.35321295	0.3437035	0.27851677	0.270512	0.25123435	0.3370576	0.31713516	0.3479265	0.2609516	0.34923175	0.32146096	0.30152506	0.26983148	0.32935184	0.2706323	0.31999195	0.31060377	0.34661227	0.30563	0.27076855	0.28028423	0.2548854	0.3170039	0.2903978	0.33338177	0.31006253	0.2948885	0.30752364	0.24529052	0.2841269	0.3177607	0.27880758	0.3296051	0.28176335	0.24533394	0.27130097	0.27587593	0.3318877	0.30469024	0.31209368	0.28204405	0.28732225	0.2953047	0.31952316	0.24127457	0.30956274	0.30532113	0.31275317	0.2826844	0.3270768	0.3162136	0.32549348	0.31633222	0.33083993	0.24844031	0.3324933	0.27341753	0.240348	0.27734065	0.3118561	0.2815962	0.31454167	0.2495959	0.356363	0.24464303	0.2623624	0.32184905	0.32165205	0.29975465	0.32491776	0.23882367	0.3470446	0.31707433	0.21476471	0.23107977	0.2936769	0.23134631	0.2866165	0.34053734	0.2738474	0.34528	0.23611753	0.29346576	0.30997074	0.32928613	0.33590102	0.27944165	0.35656717	0.3539566	0.28823793	0.34505612	0.2911227	0.29512334	0.2920056	0.30842265	0.2603988	0.3427362	0.29726955	0.30224198	0.23409694	0.27325583	0.26055843	0.30047774	0.23929852	0.32523212	0.25047502	0.31877992	0.29549715	0.23822147	0.25794515	0.31962517	0.2906971	0.3450477	0.2586624	0.34243178	0.27440166	0.2964103	0.29555964	0.26312587	0.26749945	0.26285017	0.26385581	0.24702367	0.22782406	0.25279012	0.29442778	0.31091064	0.35491288	0.31647396	0.33686593	0.26428092	0.25942367	0.2777242	0.29706085	0.22168678	0.2847018	0.2875061	0.3360689	0.26573306	0.30749226	0.31717977	0.35045186	0.336798	0.3238309	0.26445132	0.2909406	0.30774838	0.32330057	0.2772451	0.3450139
CW x Harlequin Tsunami	0.2897323	0.26542914	0.35745078	0.3164953	0.3557321	0.27043685	0.2655566	0	0.35620418	0.29224208	0.3265804	0.32019117	0.3110997	0.26123673	0.28314218	0.2697268	0.31147814	0.32087135	0.24055088	0.26428908	0.3173524	0.35892436	0.33126786	0.35403323	0.22748756	0.26471528	0.35608208	0.24689957	0.3441856	0.30760193	0.3063993	0.3530311	0.2597606	0.3298825	0.28093377	0.32298717	0.3338429	0.34415343	0.29779378	0.3248662	0.3570915	0.34433398	0.2701348	0.25835955	0.25724944	0.35312057	0.33173344	0.36186752	0.2833703	0.3518548	0.3340098	0.28294685	0.2789732	0.3170388	0.25303066	0.31824687	0.3286422	0.36820307	0.30717713	0.22870548	0.24682863	0.20626616	0.32277894	0.2739635	0.3498182	0.29635176	0.29341435	0.31153294	0.28259158	0.2834667	0.325931	0.24280854	0.32413086	0.26967618	0.2576223	0.25265008	0.28223288	0.3261603	0.3047486	0.30384406	0.26320478	0.2625066	0.2915458	0.34594408	0.23470625	0.31271887	0.32248297	0.3434523	0.26178896	0.34428993	0.30267102	0.33919448	0.34853566	0.32326028	0.24690141	0.33445597	0.2604786	0.2302557	0.25279185	0.30890945	0.24320011	0.30625495	0.27418146	0.35874078	0.22639978	0.2554209	0.33219826	0.3333173	0.2745832	0.34634146	0.24160877	0.35969394	0.3367047	0.25071132	0.27599293	0.29495877	0.235349	0.2606716	0.34553194	0.29691347	0.34714112	0.22291729	0.26819232	0.30951583	0.3442403	0.3546235	0.24394408	0.36775184	0.3565625	0.24490774	0.36149526	0.2600154	0.28904516	0.251263	0.32114202	0.2483459	0.36005512	0.29720962	0.28988728	0.21938913	0.26363853	0.27269924	0.28099966	0.25752452	0.3093014	0.2341344	0.3358966	0.3037768	0.22963661	0.29651162	0.3288759	0.29913786	0.35192412	0.21665658	0.35751668	0.29566815	0.31233978	0.31481057	0.2836746	0.27036095	0.2297896	0.25649986	0.24366748	0.24533603	0.2824333	0.2810149	0.31488785	0.35874984	0.3305089	0.35259515	0.24084148	0.27574897	0.26757145	0.26258707	0.2062015	0.26936927	0.29743057	0.34797496	0.2658864	0.3094066	0.32555336	0.34987482	0.35308093	0.31803286	0.25084388	0.31696236	0.27868602	0.32061997	0.304862	0.35112607
USO-31 (A)	0.35640916	0.34194255	0.21570745	0.33481598	0.26327577	0.32753977	0.3418153	0.35620418	0	0.34237856	0.30795178	0.3193207	0.32609025	0.34888595	0.36245105	0.3606896	0.3198355	0.36072677	0.35117683	0.35939974	0.3481785	0.25758907	0.2778148	0.27055278	0.36054903	0.35880557	0.24663067	0.36550003	0.2980878	0.31550583	0.351541	0.2528384	0.35607257	0.30187115	0.3296628	0.360586	0.29152614	0.2951253	0.3588812	0.31034356	0.26278296	0.26379535	0.34448647	0.34259608	0.3632835	0.21770844	0.28285876	0.2237926	0.34531444	0.26046562	0.2861684	0.3559083	0.3465466	0.3162269	0.35796577	0.33408934	0.30977923	0.25080165	0.32058832	0.35118842	0.36499667	0.35759932	0.340661	0.3485526	0.25395525	0.36143154	0.36102152	0.32054356	0.334574	0.3379189	0.2953847	0.35940972	0.29768834	0.3609182	0.36613557	0.36539024	0.34087452	0.3007685	0.32426307	0.32617685	0.3422872	0.33694372	0.356097	0.29132637	0.3525944	0.3189356	0.35575637	0.30420357	0.3428054	0.2543729	0.31540585	0.3204654	0.30129558	0.31301355	0.34934345	0.2963064	0.3554119	0.3478426	0.3367003	0.2923604	0.36190954	0.2955615	0.3475589	0.2636819	0.34678861	0.34850243	0.27906084	0.28773028	0.3563939	0.28424945	0.36299598	0.24907254	0.28345492	0.35167423	0.34690857	0.34033462	0.35338834	0.35566947	0.28295225	0.36546132	0.26756364	0.34855425	0.3649017	0.3209657	0.2683149	0.24343792	0.33662257	0.26130402	0.26191318	0.36094344	0.24115421	0.35769784	0.35344526	0.35387787	0.34983245	0.34399003	0.23780945	0.37304795	0.35979962	0.34773663	0.33865267	0.35054052	0.3516502	0.36329067	0.340755	0.34901208	0.28126478	0.35511222	0.3629402	0.34989095	0.30500945	0.34177682	0.29085004	0.35662585	0.20240588	0.32837307	0.32851878	0.32233182	0.34689006	0.37080938	0.35932106	0.33778992	0.3504943	0.3490761	0.3503324	0.3293013	0.35668978	0.25805607	0.28179	0.24127337	0.35720932	0.34634393	0.34807026	0.35901782	0.36464596	0.3458209	0.32319903	0.2600404	0.34718192	0.31167066	0.3555472	0.26510733	0.25090498	0.36236444	0.34949252	0.35572094	0.3569799	0.36487117	0.3403564	0.2661819
Cherry Wine (B)	0.3113996	0.2716637	0.3413079	0.33168048	0.33589596	0.27700177	0.27786446	0.29224208	0.34237856	0	0.31094262	0.3260578	0.32274067	0.26940554	0.2939296	0.29568508	0.32030964	0.350661	0.27889377	0.31074414	0.33889553	0.3385773	0.30668807	0.34077308	0.29170808	0.30927593	0.33585653	0.259673	0.3315369	0.32177198	0.3033127	0.3316178	0.29988447	0.30976972	0.32101133	0.32544872	0.31218874	0.32580915	0.28348476	0.31421262	0.33036992	0.32790786	0.3121667	0.2909764	0.28108183	0.33623782	0.31907675	0.34385478	0.3033839	0.33975735	0.30516636	0.3116838	0.30172125	0.31265068	0.30056682	0.32721433	0.31854787	0.3366759	0.31959322	0.28750163	0.30141324	0.28065485	0.3197184	0.2992842	0.3344182	0.33321297	0.30579397	0.32154012	0.28523457	0.29655778	0.33390963	0.28864956	0.30409828	0.29717392	0.2796733	0.29288724	0.31344172	0.3280031	0.3180672	0.29463574	0.30798352	0.31080776	0.32114956	0.3028361	0.29455593	0.3314384	0.31580666	0.29470015	0.30795866	0.31684917	0.30266786	0.30382222	0.30115646	0.3037518	0.2967441	0.31425932	0.29146424	0.28093535	0.29912966	0.30807322	0.29525375	0.32067078	0.3098222	0.34058884	0.28439462	0.2962287	0.30687255	0.30670813	0.30803353	0.30787435	0.29330838	0.34239653	0.29770878	0.2861258	0.2642698	0.31965894	0.2927882	0.28637502	0.3227132	0.30879188	0.3328871	0.26697424	0.30622828	0.32204294	0.32361278	0.33729976	0.29912683	0.34010434	0.33842683	0.30271456	0.3376962	0.30797952	0.31531686	0.30239394	0.33704892	0.3051512	0.3373297	0.32378772	0.3079714	0.26559275	0.2994063	0.28730205	0.3149336	0.3067409	0.32129306	0.2805737	0.30675587	0.3040998	0.25725022	0.31035802	0.3310936	0.32105744	0.32743105	0.27221644	0.33793327	0.3131345	0.32148775	0.3125278	0.2951567	0.26799703	0.28506565	0.27836406	0.27990648	0.24006738	0.3016724	0.31737462	0.3231921	0.34021035	0.3058802	0.33692163	0.29179713	0.2942756	0.2978101	0.3094594	0.26803887	0.31024855	0.3097157	0.32716033	0.29575914	0.3208015	0.32476658	0.33505613	0.33112505	0.33897755	0.3026846	0.31835485	0.31720626	0.3390543	0.31054577	0.3363606
